#f1, m1, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.7,4.300000000000001,0.6645905,0.296857866386,0.4955,0.5045,0.0,0.538322,0.608766635563,0.5125,0.4875,0.0
0.7,4.4,0.6548565,0.290475293974,0.5115,0.4885,0.0,0.516691,0.571187606271,0.513,0.487,0.0
0.7,4.5,0.627581,0.250702007302,0.515,0.485,0.0,0.5190895,0.591139566322,0.51,0.49,0.0
0.7,4.6000000000000005,0.6256745,0.25764351361,0.506,0.494,0.0,0.5011755,0.567065716722,0.4865,0.5135,0.0
0.7,4.7,0.614108,0.247449839952,0.4905,0.5095,0.0,0.489825,0.586639494419,0.491,0.509,0.0
0.7,4.8,0.5875795,0.201941180751,0.48,0.52,0.0,0.488826,0.548528327665,0.522,0.478,0.0
0.7,4.9,0.5775025,0.197027181234,0.52,0.48,0.0,0.4850145,0.554530106363,0.496,0.504,0.0
0.7,5.0,0.569371,0.185142315834,0.5015,0.4985,0.0,0.447161,0.504958298684,0.493,0.507,0.0
0.9,0.5,4.84032210297,2.83103700495,0.4995,0.479,0.0215,3.76884607538,2.87066783724,0.4895,0.502,0.0085
0.9,0.6,4.23990387644,2.49984955176,0.5105,0.4815,0.008,3.41561618793,2.65470654781,0.505,0.4865,0.0085
0.9,0.7,3.71728689411,2.21782898233,0.478,0.5205,0.0015,3.16966337033,2.59234989546,0.4995,0.496,0.0045
0.9,0.8,3.26698746593,1.78657577713,0.494,0.5055,0.0005,2.86853761858,2.34881861607,0.477,0.5195,0.0035
0.9,0.9,3.0499195,1.5958064277,0.519,0.481,0.0,2.70315166701,2.27757802828,0.4875,0.51,0.0025
0.9,1.0,2.79674717435,1.43728261478,0.48,0.5195,0.0005,2.44919136737,2.0401642217,0.5055,0.493,0.0015
0.9,1.1,2.5731585,1.26158486965,0.494,0.506,0.0,2.3489785,1.99878084995,0.5105,0.4895,0.0
0.9,1.2000000000000002,2.44674,1.15457799821,0.497,0.503,0.0,2.1212945,1.82403962601,0.508,0.492,0.0
0.9,1.3,2.2555175,1.04863058207,0.503,0.497,0.0,1.9612735,1.80768016548,0.507,0.493,0.0
0.9,1.4,2.1478595,0.949300072706,0.4985,0.5015,0.0,1.8488905,1.58559427516,0.5105,0.4895,0.0
0.9,1.5,1.9953795,0.853512752168,0.489,0.511,0.0,1.7812205,1.56125914242,0.506,0.494,0.0
0.9,1.6,1.9499585,0.815335783506,0.5105,0.4895,0.0,1.6747775,1.51691351462,0.5305,0.4695,0.0
0.9,1.7000000000000002,1.8120355,0.712580687808,0.481,0.519,0.0,1.565567,1.46534906839,0.4925,0.5075,0.0
0.9,1.8,1.7919635,0.711353106809,0.491,0.509,0.0,1.4895065,1.3931511916,0.485,0.515,0.0
0.9,1.9000000000000001,1.704609,0.647237898691,0.494,0.506,0.0,1.3923655,1.3651808191,0.498,0.502,0.0
0.9,2.0,1.645079,0.640915295444,0.503,0.497,0.0,1.30067,1.25669928451,0.484,0.516,0.0
0.9,2.1,1.6186345,0.610574036524,0.507,0.493,0.0,1.278427,1.26155250865,0.482,0.518,0.0
0.9,2.2,1.543919,0.559477378414,0.4965,0.5035,0.0,1.230266,1.16865554882,0.495,0.505,0.0
0.9,2.3,1.4758975,0.521229839976,0.4995,0.5005,0.0,1.1887935,1.19056718935,0.488,0.512,0.0
0.9,2.4000000000000004,1.4469075,0.499817153247,0.4955,0.5045,0.0,1.1136245,1.06401723885,0.484,0.516,0.0
0.9,2.5,1.400245,0.485550876634,0.507,0.493,0.0,1.1071565,1.14326362857,0.5105,0.4895,0.0
0.9,2.6,1.3421655,0.467097881315,0.508,0.492,0.0,0.9959085,1.0237203945,0.4905,0.5095,0.0
0.9,2.7,1.30899,0.446850345069,0.503,0.497,0.0,1.020247,1.04040937091,0.495,0.505,0.0
0.9,2.8000000000000003,1.309977,0.467970828208,0.4925,0.5075,0.0,0.984108,0.968138816815,0.5115,0.4885,0.0
0.9,2.9000000000000004,1.2493995,0.446620465355,0.501,0.499,0.0,0.931489,0.939227015453,0.513,0.487,0.0
0.9,3.0,1.22203,0.437230209679,0.5095,0.4905,0.0,0.889263,0.906683679739,0.494,0.506,0.0
0.9,3.1,1.194634,0.410512829656,0.5115,0.4885,0.0,0.877869,0.907262178975,0.4875,0.5125,0.0
0.9,3.2,1.162562,0.418753200648,0.495,0.505,0.0,0.8406385,0.883561532043,0.5065,0.4935,0.0
0.9,3.3000000000000003,1.140656,0.410730662269,0.5015,0.4985,0.0,0.821863,0.849394817268,0.509,0.491,0.0
0.9,3.4000000000000004,1.103511,0.40522961039,0.515,0.485,0.0,0.7475285,0.77542603726,0.5015,0.4985,0.0
